query,intent
I missed the counselling round due to no notification from the portal.,Admission
The finance department is not responding to my refund request.,Finance
Wrong fee head was applied to my account causing confusion.,Finance
I appreciate the timely maintenance work done in my room.,Hostel
I have not received any communication regarding my scholarship status.,Scholarship
The common bathroom tiles are broken and pose a safety risk.,Hostel
Staff at the help desk were very cooperative.,General
The fee portal worked smoothly and I received the receipt instantly.,Finance
What is the minimum CGPA required for placement registration?,Placement
The admission portal keeps showing an error when I try to submit my form.,Admission
What is the process to apply for revaluation?,Examination
The scholarship cell staff helped me complete my application.,Scholarship
Is there a grace mark policy in the university?,Examination
The hostel gate is being closed before the permitted time.,Hostel
How many attempts are allowed for a backlog paper?,Examination
The finance staff resolved my billing error quickly.,Finance
I was threatened by a classmate and reported it but nothing happened.,Complaint
What are the hostel rules for late-night entry?,Hostel
"I got placed in a good company, thank you to the placement cell.",Placement
"There are insects in the mess food, this is unacceptable.",Hostel
When is the scholarship application portal open?,Scholarship
The examination fee was deducted but the form was not submitted.,Examination
The revaluation process was handled efficiently.,Examination
What are the accepted modes of fee payment?,Finance
I appreciate the extended fee deadline during exam time.,Finance
I was marked absent in the exam even though I was present.,Examination
Hostel Wi-Fi speed has improved a lot recently.,Hostel
Revaluation result is pending for over 13 months.,Examination
I was not allowed into the exam hall due to a portal error.,Examination
"My refund was processed within 10 working days, thank you.",Finance
Is there an anonymous complaint submission option?,Complaint
How do I apply for a room change?,Hostel
The challan generated has incorrect details.,Finance
What is the anti-ragging policy of the university?,Complaint
When will the second merit list be published?,Admission
Where is the medical centre located on campus?,General
"My refund was processed within 24 working days, thank you.",Finance
I was not notified about the campus drive that happened yesterday.,Placement
The hostel room was clean and well-maintained on arrival.,Hostel
How many seats are available in the Computer Science branch?,Admission
What are the accepted modes of fee payment?,Finance
The company I was placed in has deferred joining by 21 months.,Placement
My fee refund has not been processed even after 9 months.,Finance
How do I apply for a bonafide certificate?,General
Can final year students from all branches register?,Placement
Where can I report a case of harassment?,Complaint
"Result was declared faster than expected, appreciated.",Examination
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
My scholarship application has been pending for 30 months with no update.,Scholarship
I cannot find any information about the upcoming event.,General
Admission office is not responding to my emails for 29 days.,Admission
"Thank you, my admission documents were verified quickly.",Admission
The company I was placed in has deferred joining by 27 months.,Placement
"My admit card was generated on time, thank you.",Examination
The mock interviews organised by placement cell were excellent.,Placement
The help desk is not responding to my queries.,General
I appreciate the extended fee deadline during exam time.,Finance
The challan generated has incorrect details.,Finance
There is a case of ragging in my hostel block.,Complaint
The help desk is not responding to my queries.,General
The practical exam was scheduled without any prior intimation.,Examination
Is direct admission available for lateral entry students?,Admission
My result shows fail but I had submitted all answers correctly.,Examination
When is the scholarship application portal open?,Scholarship
The finance staff resolved my billing error quickly.,Finance
The exam timetable was changed without prior notice.,Examination
The online payment system is very convenient.,Finance
"My refund was processed within 2 working days, thank you.",Finance
The placement portal login is not working for me.,Placement
My roommate is causing disturbance but the warden is not taking action.,Hostel
My resume was not shortlisted without any feedback.,Placement
Is there a government scholarship tie-up with this university?,Scholarship
Wrong fee head was applied to my account causing confusion.,Finance
The orientation program was well-organised.,General
The scholarship amount was not credited to my account this semester.,Scholarship
The library is closed during exam preparation time.,General
I received my offer letter within 7 days of the interview.,Placement
Is off-campus placement assistance provided?,Placement
What are the hostel rules for late-night entry?,Hostel
The online payment system is very convenient.,Finance
The merit scholarship process was transparent and fair.,Scholarship
My scholarship application has been pending for 6 months with no update.,Scholarship
Admission office is not responding to my emails for 24 days.,Admission
I am being harassed by a senior student and no action is being taken.,Complaint
What is the anti-ragging policy of the university?,Complaint
My application was rejected without any reason given.,Admission
Is there any concession for single-parent students?,Finance
Is there a student ombudsman at this university?,Complaint
How do I download my fee receipt from the portal?,Finance
The transport bus schedule has changed without any notice.,General
The placement training sessions were very useful.,Placement
The staff at the admission office was very helpful.,Admission
My profile on the placement portal shows incorrect CGPA.,Placement
There is a spelling mistake in my name on the hall ticket.,Examination
The merit scholarship process was transparent and fair.,Scholarship
"I got placed in a good company, thank you to the placement cell.",Placement
What is the renewal process for continuing scholarship?,Scholarship
"My scholarship was approved quickly, I am very grateful.",Scholarship
I was asked to pay the fee again even after showing the receipt.,Finance
The hostel fee receipt has not been generated after payment.,Hostel
The scholarship portal is not accepting my Aadhaar number.,Scholarship
What is the process for NRI admission?,Admission
The merit scholarship process was transparent and fair.,Scholarship
I have not received any communication regarding my scholarship status.,Scholarship
The placement cell kept us informed about every drive.,Placement
The staff at the admission office was very helpful.,Admission
I received my offer letter within 7 days of the interview.,Placement
The placement training sessions were very useful.,Placement
How many seats are available in the Computer Science branch?,Admission
I was threatened by a classmate and reported it but nothing happened.,Complaint
The placement training sessions were very useful.,Placement
The exam schedule was shared well in advance this time.,Examination
The revaluation process was handled efficiently.,Examination
"I received my ID card within 12 days, thank you.",General
Staff at the help desk were very cooperative.,General
The mess menu has improved significantly this month.,Hostel
Staff at the help desk were very cooperative.,General
The anti-ragging cell responded to my complaint immediately.,Complaint
I was marked absent in the exam even though I was present.,Examination
The campus facilities have improved a lot this year.,General
The finance department is not responding to my refund request.,Finance
What documents are needed for placement registration?,Placement
How do I check my admission status online?,Admission
My transaction failed but the amount was debited from my account.,Finance
The anti-ragging committee is not accessible to students.,Complaint
My result shows fail but I had submitted all answers correctly.,Examination
My seat allotment was updated within 21 hours as promised.,Admission
"I received my ID card within 29 days, thank you.",General
What is the minimum CGPA required for placement registration?,Placement
The campus facilities have improved a lot this year.,General
Power cuts in the hostel are happening every day.,Hostel
Thank you for processing my scholarship renewal on time.,Scholarship
When will semester results be declared?,Examination
What is the anti-ragging policy of the university?,Complaint
My complaint was taken seriously and resolved within 21 days.,Complaint
The fee portal worked smoothly and I received the receipt instantly.,Finance
"My scholarship was approved quickly, I am very grateful.",Scholarship
What is the anti-ragging policy of the university?,Complaint
What is the anti-ragging policy of the university?,Complaint
What is the procedure to vacate the hostel at year end?,Hostel
What action is taken against proven ragging cases?,Complaint
The student affairs office handled my case professionally.,Complaint
I submitted all documents but my application still shows incomplete.,Scholarship
Can final year students from all branches register?,Placement
The hostel room was clean and well-maintained on arrival.,Hostel
My result shows fail but I had submitted all answers correctly.,Examination
What action is taken against proven ragging cases?,Complaint
Can I appear in exam if attendance is below 75 percent?,Examination
Is off-campus placement assistance provided?,Placement
The anti-ragging cell responded to my complaint immediately.,Complaint
What documents are required for scholarship application?,Scholarship
When does hostel allotment happen for new students?,Hostel
When is the scholarship application portal open?,Scholarship
What is the anti-ragging policy of the university?,Complaint
"Result was declared faster than expected, appreciated.",Examination
I was threatened by a classmate and reported it but nothing happened.,Complaint
What is the process for NRI admission?,Admission
Which companies visited last year?,Placement
Can I appear in exam if attendance is below 75 percent?,Examination
The challan generated has incorrect details.,Finance
What are the accepted modes of fee payment?,Finance
My internal marks have not been updated for 2 subjects.,Examination
What is the renewal process for continuing scholarship?,Scholarship
What are the hostel rules for late-night entry?,Hostel
I was declared ineligible for scholarship without any explanation.,Scholarship
The finance staff resolved my billing error quickly.,Finance
What is the process to apply for revaluation?,Examination
I was declared ineligible for scholarship without any explanation.,Scholarship
My admission application has been pending for 26 weeks with no update.,Admission
How do I get a duplicate ID card?,General
My scholarship amount was deducted from my fee but still shows balance.,Finance
Wrong category was assigned to me during the admission process.,Admission
How do I get a duplicate ID card?,General
The placement portal login is not working for me.,Placement
The placement cell kept us informed about every drive.,Placement
What is the refund policy for withdrawn students?,Finance
What documents are required for scholarship application?,Scholarship
The hostel room allotted to me is not clean.,Hostel
When will campus placements begin this year?,Placement
The placement cell kept us informed about every drive.,Placement
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
Thank you for processing my scholarship renewal on time.,Scholarship
How do I get a duplicate ID card?,General
"My admit card was generated on time, thank you.",Examination
The mess food quality has deteriorated significantly.,Hostel
What action is taken against proven ragging cases?,Complaint
I was asked to submit documents twice but still no confirmation.,Admission
The exam schedule was shared well in advance this time.,Examination
The merit scholarship process was transparent and fair.,Scholarship
My complaint was taken seriously and resolved within 24 days.,Complaint
I submitted all documents but my application still shows incomplete.,Scholarship
My email ID was not created even after 18 weeks of registration.,General
"Thank you, my admission documents were verified quickly.",Admission
I missed the counselling round due to no notification from the portal.,Admission
The hostel gate is being closed before the permitted time.,Hostel
Is there a training program before placements?,Placement
The seat allotment letter has not been issued after 29 days of payment.,Admission
The finance staff resolved my billing error quickly.,Finance
My email ID was not created even after 19 weeks of registration.,General
Power cuts in the hostel are happening every day.,Hostel
My complaint was taken seriously and resolved within 12 days.,Complaint
I missed the registration deadline because no reminder was sent.,Placement
My seat allotment was updated within 26 hours as promised.,Admission
"Result was declared faster than expected, appreciated.",Examination
How is the scholarship amount disbursed?,Scholarship
The company I was placed in has deferred joining by 13 months.,Placement
The exam timetable was changed without prior notice.,Examination
What is the anti-ragging policy of the university?,Complaint
I received the scholarship amount before the semester began.,Scholarship
How do I download my admit card from the portal?,Examination
Where can I report a case of harassment?,Complaint
"I got placed in a good company, thank you to the placement cell.",Placement
The warden resolved my complaint within 25 hours.,Hostel
"My refund was processed within 20 working days, thank you.",Finance
What is the minimum CGPA required for placement registration?,Placement
My backlog exam date clashes with my regular exam schedule.,Examination
What are the library timings on weekends?,General
I was charged late fee even though I paid before the deadline.,Finance
What is the exam form fill-up last date?,Examination
I got my corrected mark sheet within 11 days.,Examination
I was denied entry to the hostel without any valid reason.,Hostel
I appreciate the quick action taken on my grievance.,Complaint
What are the library timings on weekends?,General
How do I download my fee receipt from the portal?,Finance
The merit scholarship process was transparent and fair.,Scholarship
What are the library timings on weekends?,General
How do I check my admission status online?,Admission
I submitted all documents but my admission status still shows incomplete.,Admission
"My admit card was generated on time, thank you.",Examination
The online payment system is very convenient.,Finance
Thank you for processing my scholarship renewal on time.,Scholarship
What is the last date for admission form submission?,Admission
How can I get a duplicate fee receipt?,Finance
How long does it take to resolve a grievance?,Complaint
I have been charged hostel fee even though I am a day scholar.,Finance
What was the highest package offered last year?,Placement
The library is closed during exam preparation time.,General
"Thank you, my admission documents were verified quickly.",Admission
The revaluation process was handled efficiently.,Examination
I was asked to submit documents twice but still no confirmation.,Admission
The staff at the admission office was very helpful.,Admission
Where can I report a case of harassment?,Complaint
When is the scholarship application portal open?,Scholarship
Can I escalate my complaint if it is not resolved?,Complaint
The warden resolved my complaint within 4 hours.,Hostel
The staff at the admission office was very helpful.,Admission
How do I download my fee receipt from the portal?,Finance
Admission office is not responding to my emails for 27 days.,Admission
How do I download my admit card from the portal?,Examination
When is the scholarship application portal open?,Scholarship
I was not allowed into the exam hall due to a portal error.,Examination
I was wrongly penalised for something I did not do.,Complaint
When is the scholarship application portal open?,Scholarship
I received the scholarship amount before the semester began.,Scholarship
My backlog exam date clashes with my regular exam schedule.,Examination
Is there an anonymous complaint submission option?,Complaint
The examination fee was deducted but the form was not submitted.,Examination
The hostel room was clean and well-maintained on arrival.,Hostel
What is the refund policy for withdrawn students?,Finance
I have been charged hostel fee even though I am a day scholar.,Finance
My merit list position was not updated even after re-verification.,Admission
What are the library timings on weekends?,General
The placement cell has not updated the company list for this year.,Placement
What is the fee structure for international students?,Finance
"My scholarship was approved quickly, I am very grateful.",Scholarship
The scholarship portal is not accepting my Aadhaar number.,Scholarship
The student affairs office handled my case professionally.,Complaint
There is a spelling mistake in my name on the hall ticket.,Examination
What documents are required for the admission process?,Admission
The merit scholarship process was transparent and fair.,Scholarship
I appreciate the quick action taken on my grievance.,Complaint
I submitted all documents but my application still shows incomplete.,Scholarship
The online payment system is very convenient.,Finance
Is there a scholarship for differently-abled students?,Scholarship
What are the transport routes available for students?,General
The mock interviews organised by placement cell were excellent.,Placement
What is the income limit for need-based scholarship?,Scholarship
The placement cell kept us informed about every drive.,Placement
I received my offer letter within 6 days of the interview.,Placement
I was declared ineligible for scholarship without any explanation.,Scholarship
Can I apply for multiple scholarships simultaneously?,Scholarship
What was the highest package offered last year?,Placement
I cannot find any information about the upcoming event.,General
My roommate is causing disturbance but the warden is not taking action.,Hostel
How do I get a duplicate ID card?,General
My scholarship application has been pending for 27 months with no update.,Scholarship
I was removed from the placement list due to a clerical error.,Placement
My grievance has been ignored by the department for 10 weeks.,Complaint
I received my admission confirmation letter on time.,Admission
There is a case of ragging in my hostel block.,Complaint
My result shows fail but I had submitted all answers correctly.,Examination
Can I change my branch after the first year?,Admission
Revaluation result is pending for over 24 months.,Examination
Where is the medical centre located on campus?,General
The pre-placement talk was cancelled without informing students.,Placement
I submitted all documents but my application still shows incomplete.,Scholarship
What is the process to apply for revaluation?,Examination
The orientation program was well-organised.,General
What documents are required for the admission process?,Admission
The fee portal worked smoothly and I received the receipt instantly.,Finance
The placement training sessions were very useful.,Placement
My scholarship application has been pending for 27 months with no update.,Scholarship
I was removed from the placement list due to a clerical error.,Placement
When will semester results be declared?,Examination
The revaluation process was handled efficiently.,Examination
Is air conditioning available in hostel rooms?,Hostel
I have not received my offer letter even after 29 months of selection.,Placement
The student affairs office handled my case professionally.,Complaint
How long does it take to resolve a grievance?,Complaint
When is the scholarship application portal open?,Scholarship
The scholarship portal is not accepting my Aadhaar number.,Scholarship
Hostel Wi-Fi speed has improved a lot recently.,Hostel
"My refund was processed within 29 working days, thank you.",Finance
The placement cell has not updated the company list for this year.,Placement
The admission process was smooth and well-organised this year.,Admission
The mock interviews organised by placement cell were excellent.,Placement
I received my offer letter within 5 days of the interview.,Placement
My merit list position was not updated even after re-verification.,Admission
I received the scholarship amount before the semester began.,Scholarship
The company I was placed in has deferred joining by 26 months.,Placement
Which companies visited last year?,Placement
Is there an EMI option available for fee payment?,Finance
I have not received any communication regarding my scholarship status.,Scholarship
The fee receipt is not downloadable from the portal.,Finance
The placement cell kept us informed about every drive.,Placement
I have been allotted a wrong exam centre far from my address.,Examination
The pre-placement talk was cancelled without informing students.,Placement
How many attempts are allowed for a backlog paper?,Examination
What is the process to apply for hostel accommodation?,Hostel
The new student portal is very user-friendly.,General
The scholarship portal is not accepting my Aadhaar number.,Scholarship
Is direct admission available for lateral entry students?,Admission
How do I update my contact details on the portal?,General
I got my corrected mark sheet within 25 days.,Examination
Where can I report a case of harassment?,Complaint
My email ID was not created even after 22 weeks of registration.,General
How do I file a formal complaint against a faculty member?,Complaint
"My refund was processed within 15 working days, thank you.",Finance
The library is closed during exam preparation time.,General
The hostel room allotted to me is not clean.,Hostel
How do I access the university Wi-Fi?,General
I cannot find any information about the upcoming event.,General
I received the scholarship amount before the semester began.,Scholarship
The renewal form for scholarship is not available on the portal.,Scholarship
I could not find my roll number on the examination portal.,Examination
I missed the registration deadline because no reminder was sent.,Placement
Is laundry service available in the hostel?,Hostel
Where can I report a case of harassment?,Complaint
I missed the counselling round due to no notification from the portal.,Admission
When does hostel allotment happen for new students?,Hostel
My application was rejected without any reason given.,Admission
What was the highest package offered last year?,Placement
What is the monthly hostel fee for postgraduate students?,Hostel
The orientation program was well-organised.,General
What is the process to apply for hostel accommodation?,Hostel
My admit card has not been generated even though exams start tomorrow.,Examination
How do I file a formal complaint against a faculty member?,Complaint
The pre-placement talk was cancelled without informing students.,Placement
When will campus placements begin this year?,Placement
What is the process to apply for revaluation?,Examination
My email ID was not created even after 15 weeks of registration.,General
The library is closed during exam preparation time.,General
"I got placed in a good company, thank you to the placement cell.",Placement
The fee portal worked smoothly and I received the receipt instantly.,Finance
What is the exam form fill-up last date?,Examination
The scholarship cell staff helped me complete my application.,Scholarship
When is the scholarship application portal open?,Scholarship
I was declared ineligible for scholarship without any explanation.,Scholarship
I appreciate the extended fee deadline during exam time.,Finance
My roommate is causing disturbance but the warden is not taking action.,Hostel
The anti-ragging cell responded to my complaint immediately.,Complaint
I appreciate the timely maintenance work done in my room.,Hostel
Can final year students from all branches register?,Placement
What scholarships are available for meritorious students?,Scholarship
How many attempts are allowed for a backlog paper?,Examination
What was the highest package offered last year?,Placement
The placement training sessions were very useful.,Placement
"Result was declared faster than expected, appreciated.",Examination
"There are insects in the mess food, this is unacceptable.",Hostel
"My refund was processed within 4 working days, thank you.",Finance
How many attempts are allowed for a backlog paper?,Examination
I submitted all documents but my application still shows incomplete.,Scholarship
How do I check my admission status online?,Admission
My application was rejected without any reason given.,Admission
Who is the grievance redressal officer?,Complaint
There is a case of ragging in my hostel block.,Complaint
The exam timetable was changed without prior notice.,Examination
I was wrongly penalised for something I did not do.,Complaint
"My scholarship was approved quickly, I am very grateful.",Scholarship
The exam schedule was shared well in advance this time.,Examination
The fee portal worked smoothly and I received the receipt instantly.,Finance
What is the process to apply for revaluation?,Examination
"My refund was processed within 24 working days, thank you.",Finance
There is a spelling mistake in my name on the hall ticket.,Examination
The mess menu has improved significantly this month.,Hostel
"I got placed in a good company, thank you to the placement cell.",Placement
Which companies visited last year?,Placement
The help desk is not responding to my queries.,General
The finance department is not responding to my refund request.,Finance
How do I apply for a bonafide certificate?,General
The practical exam was scheduled without any prior intimation.,Examination
When will the end semester exam schedule be released?,Examination
My complaint was taken seriously and resolved within 26 days.,Complaint
How do I update my contact details on the portal?,General
The company I was placed in has deferred joining by 7 months.,Placement
How do I apply for a bonafide certificate?,General
Is there an EMI option available for fee payment?,Finance
I appreciate the quick action taken on my grievance.,Complaint
I missed the counselling round due to no notification from the portal.,Admission
I appreciate the quick action taken on my grievance.,Complaint
What is the refund policy for withdrawn students?,Finance
Can I change my branch after the first year?,Admission
The fee portal worked smoothly and I received the receipt instantly.,Finance
What documents are required for the admission process?,Admission
What is the procedure to vacate the hostel at year end?,Hostel
My seat allotment was updated within 26 hours as promised.,Admission
What is the anti-ragging policy of the university?,Complaint
Is there a provision for sports quota admission?,Admission
How do I apply for a room change?,Hostel
What is the monthly hostel fee for postgraduate students?,Hostel
The placement training sessions were very useful.,Placement
My complaint was taken seriously and resolved within 21 days.,Complaint
The placement cell has not updated the company list for this year.,Placement
Can I pay the fee in installments?,Finance
The anti-ragging committee is not accessible to students.,Complaint
I am being harassed by a senior student and no action is being taken.,Complaint
My admission application has been pending for 6 weeks with no update.,Admission
The online payment system is very convenient.,Finance
There is a case of ragging in my hostel block.,Complaint
The exam schedule was shared well in advance this time.,Examination
Is there a student ombudsman at this university?,Complaint
The placement cell kept us informed about every drive.,Placement
What is the refund policy for withdrawn students?,Finance
The renewal form for scholarship is not available on the portal.,Scholarship
The revaluation process was handled efficiently.,Examination
I was not allowed into the exam hall due to a portal error.,Examination
What is the monthly hostel fee for postgraduate students?,Hostel
I cannot find any information about the upcoming event.,General
The admission process was smooth and well-organised this year.,Admission
How many attempts are allowed for a backlog paper?,Examination
The campus facilities have improved a lot this year.,General
I appreciate the extended fee deadline during exam time.,Finance
The placement training sessions were very useful.,Placement
The fee portal worked smoothly and I received the receipt instantly.,Finance
The common bathroom tiles are broken and pose a safety risk.,Hostel
I am being harassed by a senior student and no action is being taken.,Complaint
The placement portal login is not working for me.,Placement
The scholarship amount was not credited to my account this semester.,Scholarship
What is the minimum CGPA required for placement registration?,Placement
My seat allotment was updated within 4 hours as promised.,Admission
Is there a provision for sports quota admission?,Admission
The help desk is not responding to my queries.,General
The hostel room was clean and well-maintained on arrival.,Hostel
What is the anti-ragging policy of the university?,Complaint
The mock interviews organised by placement cell were excellent.,Placement
Discriminatory remarks were made by a professor in class.,Complaint
"I got placed in a good company, thank you to the placement cell.",Placement
What documents are required for scholarship application?,Scholarship
I was not allowed into the exam hall due to a portal error.,Examination
Is laundry service available in the hostel?,Hostel
The notice board has outdated information.,General
Who is the grievance redressal officer?,Complaint
The online payment system is very convenient.,Finance
Is air conditioning available in hostel rooms?,Hostel
I received the scholarship amount before the semester began.,Scholarship
I was charged late fee even though I paid before the deadline.,Finance
The admission portal keeps showing an error when I try to submit my form.,Admission
My seat allotment was updated within 6 hours as promised.,Admission
Staff at the help desk were very cooperative.,General
The transport bus schedule has changed without any notice.,General
What are the transport routes available for students?,General
"Thank you, my admission documents were verified quickly.",Admission
The mess menu has improved significantly this month.,Hostel
My complaint submitted 26 days ago has not been acknowledged.,Complaint
The merit scholarship process was transparent and fair.,Scholarship
The pre-placement talk was cancelled without informing students.,Placement
Is laundry service available in the hostel?,Hostel
Where can I report a case of harassment?,Complaint
The warden resolved my complaint within 8 hours.,Hostel
How do I get a duplicate ID card?,General
I reported a maintenance issue 30 weeks ago but it is still unresolved.,Hostel
The finance staff resolved my billing error quickly.,Finance
"Thank you, my admission documents were verified quickly.",Admission
Thank you for processing my scholarship renewal on time.,Scholarship
My resume was not shortlisted without any feedback.,Placement
The practical exam was scheduled without any prior intimation.,Examination
The hostel fee receipt has not been generated after payment.,Hostel
How do I access the university Wi-Fi?,General
The scholarship cell staff helped me complete my application.,Scholarship
My internal marks have not been updated for 3 subjects.,Examination
How do I update my contact details on the portal?,General
Staff at the help desk were very cooperative.,General
Can final year students from all branches register?,Placement
Is there a government scholarship tie-up with this university?,Scholarship
The pre-placement talk was cancelled without informing students.,Placement
The mess menu has improved significantly this month.,Hostel
My fee refund has not been processed even after 17 months.,Finance
The placement portal login is not working for me.,Placement
The mock interviews organised by placement cell were excellent.,Placement
