query,intent
My merit list position was not updated even after re-verification.,Admission
Which companies visited last year?,Placement
"My refund was processed within 14 working days, thank you.",Finance
The exam timetable was changed without prior notice.,Examination
The notice board has outdated information.,General
The renewal form for scholarship is not available on the portal.,Scholarship
My transaction failed but the amount was debited from my account.,Finance
The finance staff resolved my billing error quickly.,Finance
The revaluation process was handled efficiently.,Examination
Is there a scholarship for differently-abled students?,Scholarship
I submitted all documents but my application still shows incomplete.,Scholarship
The exam timetable was changed without prior notice.,Examination
"Result was declared faster than expected, appreciated.",Examination
The scholarship portal is not accepting my Aadhaar number.,Scholarship
The placement portal login is not working for me.,Placement
What items are allowed and not allowed in the hostel?,Hostel
I was marked absent in the exam even though I was present.,Examination
Where is the medical centre located on campus?,General
"I received my ID card within 2 days, thank you.",General
I missed the registration deadline because no reminder was sent.,Placement
The exam timetable was changed without prior notice.,Examination
The university website has been down for 19 days.,General
"My refund was processed within 5 working days, thank you.",Finance
My seat allotment was updated within 8 hours as promised.,Admission
I received my admission confirmation letter on time.,Admission
Where can I report a case of harassment?,Complaint
I submitted all documents but my application still shows incomplete.,Scholarship
What are the accepted modes of fee payment?,Finance
Can I escalate my complaint if it is not resolved?,Complaint
I appreciate the extended fee deadline during exam time.,Finance
How long does it take to resolve a grievance?,Complaint
"I received my ID card within 13 days, thank you.",General
What are the hostel rules for late-night entry?,Hostel
The student affairs office handled my case professionally.,Complaint
What is the procedure for the internal complaints committee?,Complaint
Can I pay the fee in installments?,Finance
The pre-placement talk was cancelled without informing students.,Placement
The staff at the admission office was very helpful.,Admission
My fee refund has not been processed even after 5 months.,Finance
"My refund was processed within 17 working days, thank you.",Finance
What is the passing criteria for practical exams?,Examination
My complaint submitted 20 days ago has not been acknowledged.,Complaint
I reported a maintenance issue 4 weeks ago but it is still unresolved.,Hostel
Wrong category was assigned to me during the admission process.,Admission
The orientation program was well-organised.,General
What documents are required for scholarship application?,Scholarship
The placement cell kept us informed about every drive.,Placement
Wrong fee head was applied to my account causing confusion.,Finance
The exam schedule was shared well in advance this time.,Examination
Is laundry service available in the hostel?,Hostel
"My admit card was generated on time, thank you.",Examination
The notice board has outdated information.,General
How do I access the university Wi-Fi?,General
How do I update my contact details on the portal?,General
The exam schedule was shared well in advance this time.,Examination
Is laundry service available in the hostel?,Hostel
The common bathroom tiles are broken and pose a safety risk.,Hostel
Is air conditioning available in hostel rooms?,Hostel
How do I file a formal complaint against a faculty member?,Complaint
I appreciate the extended fee deadline during exam time.,Finance
Who is the grievance redressal officer?,Complaint
What are the accepted modes of fee payment?,Finance
Thank you for ensuring a safe environment in the hostel.,Complaint
The hostel room allotted to me is not clean.,Hostel
I was asked to pay the fee again even after showing the receipt.,Finance
Is there a provision for sports quota admission?,Admission
My grievance has been ignored by the department for 25 weeks.,Complaint
The scholarship cell staff helped me complete my application.,Scholarship
The staff at the admission office was very helpful.,Admission
The online payment system is very convenient.,Finance
When will the end semester exam schedule be released?,Examination
The revaluation process was handled efficiently.,Examination
The hostel room was clean and well-maintained on arrival.,Hostel
I received my admission confirmation letter on time.,Admission
The revaluation process was handled efficiently.,Examination
Is there a training program before placements?,Placement
How do I file a formal complaint against a faculty member?,Complaint
The mess menu has improved significantly this month.,Hostel
Is laundry service available in the hostel?,Hostel
How do I access the university Wi-Fi?,General
Hostel Wi-Fi speed has improved a lot recently.,Hostel
My complaint was taken seriously and resolved within 11 days.,Complaint
Wrong category was assigned to me during the admission process.,Admission
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
The challan generated has incorrect details.,Finance
My ID card has not been issued even after 11 weeks of joining.,General
What items are allowed and not allowed in the hostel?,Hostel
I received the scholarship amount before the semester began.,Scholarship
The transport bus schedule has changed without any notice.,General
"My admit card was generated on time, thank you.",Examination
The hostel room allotted to me is not clean.,Hostel
The exam schedule was shared well in advance this time.,Examination
Is direct admission available for lateral entry students?,Admission
I was threatened by a classmate and reported it but nothing happened.,Complaint
The admission process was smooth and well-organised this year.,Admission
The anti-ragging committee is not accessible to students.,Complaint
Is there a provision for sports quota admission?,Admission
The mock interviews organised by placement cell were excellent.,Placement
What action is taken against proven ragging cases?,Complaint
The hostel room allotted to me is not clean.,Hostel
"My admit card was generated on time, thank you.",Examination
I appreciate the quick action taken on my grievance.,Complaint
What is the procedure to vacate the hostel at year end?,Hostel
I was not notified about the campus drive that happened yesterday.,Placement
The exam schedule was shared well in advance this time.,Examination
"My refund was processed within 4 working days, thank you.",Finance
I have not received any communication regarding my scholarship status.,Scholarship
My resume was not shortlisted without any feedback.,Placement
What is the last date for admission form submission?,Admission
"My scholarship was approved quickly, I am very grateful.",Scholarship
The hostel fee receipt has not been generated after payment.,Hostel
I received the scholarship amount before the semester began.,Scholarship
The scholarship amount was not credited to my account this semester.,Scholarship
My ID card has not been issued even after 4 weeks of joining.,General
The anti-ragging committee is not accessible to students.,Complaint
What is the process for obtaining a migration certificate?,General
What items are allowed and not allowed in the hostel?,Hostel
The company I was placed in has deferred joining by 29 months.,Placement
The company I was placed in has deferred joining by 15 months.,Placement
My seat allotment was updated within 22 hours as promised.,Admission
What clubs and societies are active this semester?,General
How do I apply for a room change?,Hostel
The university website has been down for 18 days.,General
The online payment system is very convenient.,Finance
The pre-placement talk was cancelled without informing students.,Placement
The fee portal worked smoothly and I received the receipt instantly.,Finance
I appreciate the timely maintenance work done in my room.,Hostel
The hostel room was clean and well-maintained on arrival.,Hostel
The transport bus schedule has changed without any notice.,General
"My admit card was generated on time, thank you.",Examination
I received my offer letter within 3 days of the interview.,Placement
The challan generated has incorrect details.,Finance
The placement training sessions were very useful.,Placement
Are parents allowed to visit the hostel?,Hostel
Can I change my branch after the first year?,Admission
How do I download my fee receipt from the portal?,Finance
My grievance has been ignored by the department for 17 weeks.,Complaint
My seat allotment was updated within 11 hours as promised.,Admission
My internal marks have not been updated for 8 subjects.,Examination
The hostel room was clean and well-maintained on arrival.,Hostel
My complaint was taken seriously and resolved within 20 days.,Complaint
What are the transport routes available for students?,General
I appreciate the timely maintenance work done in my room.,Hostel
I missed the counselling round due to no notification from the portal.,Admission
Can final year students from all branches register?,Placement
The hostel room was clean and well-maintained on arrival.,Hostel
Where can I report a case of harassment?,Complaint
The scholarship cell staff helped me complete my application.,Scholarship
The fee portal worked smoothly and I received the receipt instantly.,Finance
The new student portal is very user-friendly.,General
My scholarship application has been pending for 9 months with no update.,Scholarship
Discriminatory remarks were made by a professor in class.,Complaint
The orientation program was well-organised.,General
I was asked to submit documents twice but still no confirmation.,Admission
The online payment system is very convenient.,Finance
I have not received any communication regarding my scholarship status.,Scholarship
How do I register on the placement portal?,Placement
My grievance has been ignored by the department for 5 weeks.,Complaint
The new student portal is very user-friendly.,General
My grievance has been ignored by the department for 6 weeks.,Complaint
The scholarship amount was not credited to my account this semester.,Scholarship
My fee refund has not been processed even after 22 months.,Finance
I appreciate the timely maintenance work done in my room.,Hostel
The hostel room was clean and well-maintained on arrival.,Hostel
"My refund was processed within 23 working days, thank you.",Finance
Hostel Wi-Fi speed has improved a lot recently.,Hostel
The pre-placement talk was cancelled without informing students.,Placement
The mess menu has improved significantly this month.,Hostel
I was removed from the placement list due to a clerical error.,Placement
The campus facilities have improved a lot this year.,General
What are the hostel rules for late-night entry?,Hostel
The notice board has outdated information.,General
I missed the counselling round due to no notification from the portal.,Admission
The scholarship amount was not credited to my account this semester.,Scholarship
The anti-ragging cell responded to my complaint immediately.,Complaint
My result shows fail but I had submitted all answers correctly.,Examination
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
The pre-placement talk was cancelled without informing students.,Placement
The exam schedule was shared well in advance this time.,Examination
Wi-Fi in the hostel has not been working for 8 days.,Hostel
The placement portal login is not working for me.,Placement
I was asked to submit documents twice but still no confirmation.,Admission
Can I change my branch after the first year?,Admission
How do I update my contact details on the portal?,General
My scholarship amount was deducted from my fee but still shows balance.,Finance
The mess food quality has deteriorated significantly.,Hostel
The placement cell kept us informed about every drive.,Placement
Can I change my branch after the first year?,Admission
Staff at the help desk were very cooperative.,General
The merit scholarship process was transparent and fair.,Scholarship
My complaint was taken seriously and resolved within 11 days.,Complaint
What is the anti-ragging policy of the university?,Complaint
My merit list position was not updated even after re-verification.,Admission
How is the scholarship amount disbursed?,Scholarship
The staff at the admission office was very helpful.,Admission
My complaint was taken seriously and resolved within 3 days.,Complaint
The exam schedule was shared well in advance this time.,Examination
"Thank you, my admission documents were verified quickly.",Admission
I appreciate the timely maintenance work done in my room.,Hostel
The fee portal worked smoothly and I received the receipt instantly.,Finance
Is there an EMI option available for fee payment?,Finance
The scholarship amount was not credited to my account this semester.,Scholarship
What action is taken against proven ragging cases?,Complaint
There is a spelling mistake in my name on the hall ticket.,Examination
I was asked to pay the fee again even after showing the receipt.,Finance
"There are insects in the mess food, this is unacceptable.",Hostel
Thank you for ensuring a safe environment in the hostel.,Complaint
My result shows fail but I had submitted all answers correctly.,Examination
The transport bus schedule has changed without any notice.,General
My complaint submitted 3 days ago has not been acknowledged.,Complaint
There has been no water supply in the hostel for 21 days.,Hostel
What clubs and societies are active this semester?,General
"My scholarship was approved quickly, I am very grateful.",Scholarship
What is the academic calendar for this year?,General
I appreciate the timely maintenance work done in my room.,Hostel
Is there an EMI option available for fee payment?,Finance
Can I apply for multiple scholarships simultaneously?,Scholarship
The mock interviews organised by placement cell were excellent.,Placement
What is the procedure for exam form correction?,Examination
The staff at the admission office was very helpful.,Admission
Admission office is not responding to my emails for 2 days.,Admission
What is the renewal process for continuing scholarship?,Scholarship
Which companies visited last year?,Placement
The mess food quality has deteriorated significantly.,Hostel
I cannot find any information about the upcoming event.,General
Hostel Wi-Fi speed has improved a lot recently.,Hostel
My backlog exam date clashes with my regular exam schedule.,Examination
My result shows fail but I had submitted all answers correctly.,Examination
Discriminatory remarks were made by a professor in class.,Complaint
The placement training sessions were very useful.,Placement
There has been no water supply in the hostel for 5 days.,Hostel
When is the scholarship application portal open?,Scholarship
There is a spelling mistake in my name on the hall ticket.,Examination
My ID card has not been issued even after 25 weeks of joining.,General
The transport bus schedule has changed without any notice.,General
The finance staff resolved my billing error quickly.,Finance
How do I download my fee receipt from the portal?,Finance
I was declared ineligible for scholarship without any explanation.,Scholarship
I have not received any communication regarding my scholarship status.,Scholarship
Thank you for ensuring a safe environment in the hostel.,Complaint
Thank you for ensuring a safe environment in the hostel.,Complaint
The anti-ragging cell responded to my complaint immediately.,Complaint
The seat allotment letter has not been issued after 17 days of payment.,Admission
When will campus placements begin this year?,Placement
What is the fee structure for the new academic year?,Admission
What is the exam form fill-up last date?,Examination
I reported a maintenance issue 9 weeks ago but it is still unresolved.,Hostel
I cannot find any information about the upcoming event.,General
My seat allotment was updated within 13 hours as promised.,Admission
What are the library timings on weekends?,General
My seat allotment was updated within 11 hours as promised.,Admission
My complaint was taken seriously and resolved within 25 days.,Complaint
The notice board has outdated information.,General
The hostel fee receipt has not been generated after payment.,Hostel
What is the deadline for scholarship form submission?,Scholarship
I received my admission confirmation letter on time.,Admission
Can I apply for multiple scholarships simultaneously?,Scholarship
I submitted all documents but my admission status still shows incomplete.,Admission
Is there an EMI option available for fee payment?,Finance
I missed the registration deadline because no reminder was sent.,Placement
The university website has been down for 12 days.,General
I have not received my offer letter even after 15 months of selection.,Placement
What is the minimum CGPA required for placement registration?,Placement
Is laundry service available in the hostel?,Hostel
The placement cell kept us informed about every drive.,Placement
When will semester results be declared?,Examination
The campus facilities have improved a lot this year.,General
I got my corrected mark sheet within 27 days.,Examination
The hostel room was clean and well-maintained on arrival.,Hostel
I was not allowed into the exam hall due to a portal error.,Examination
Is there an EMI option available for fee payment?,Finance
I have not received any communication regarding my scholarship status.,Scholarship
What is the refund policy for withdrawn students?,Finance
The merit scholarship process was transparent and fair.,Scholarship
I was asked to submit documents twice but still no confirmation.,Admission
The staff at the admission office was very helpful.,Admission
The online payment system is very convenient.,Finance
What is the monthly hostel fee for postgraduate students?,Hostel
What is the last date for fee payment this semester?,Finance
What is the process for NRI admission?,Admission
I reported a maintenance issue 28 weeks ago but it is still unresolved.,Hostel
"I got placed in a good company, thank you to the placement cell.",Placement
I was threatened by a classmate and reported it but nothing happened.,Complaint
When will campus placements begin this year?,Placement
"My refund was processed within 25 working days, thank you.",Finance
How many attempts are allowed for a backlog paper?,Examination
I appreciate the quick action taken on my grievance.,Complaint
"My refund was processed within 2 working days, thank you.",Finance
When does hostel allotment happen for new students?,Hostel
I was asked to submit documents twice but still no confirmation.,Admission
What is the minimum CGPA required for placement registration?,Placement
How do I check my admission status online?,Admission
The mess menu has improved significantly this month.,Hostel
I appreciate the timely maintenance work done in my room.,Hostel
What is the anti-ragging policy of the university?,Complaint
How do I register on the placement portal?,Placement
What is the process for obtaining a migration certificate?,General
The finance staff resolved my billing error quickly.,Finance
The help desk is not responding to my queries.,General
I appreciate the timely maintenance work done in my room.,Hostel
My internal marks have not been updated for 11 subjects.,Examination
What is the process for obtaining a migration certificate?,General
My ID card has not been issued even after 23 weeks of joining.,General
How do I get a duplicate ID card?,General
The staff at the admission office was very helpful.,Admission
Discriminatory remarks were made by a professor in class.,Complaint
"Thank you, my admission documents were verified quickly.",Admission
How do I access the university Wi-Fi?,General
The exam schedule was shared well in advance this time.,Examination
The admission portal keeps showing an error when I try to submit my form.,Admission
Is there a scholarship for differently-abled students?,Scholarship
What is the process for obtaining a migration certificate?,General
What is the procedure to vacate the hostel at year end?,Hostel
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
My backlog exam date clashes with my regular exam schedule.,Examination
"My refund was processed within 14 working days, thank you.",Finance
I appreciate the timely maintenance work done in my room.,Hostel
My seat allotment was updated within 10 hours as promised.,Admission
A faculty member is giving biased marks to certain students.,Complaint
What is the process for obtaining a migration certificate?,General
The student affairs office handled my case professionally.,Complaint
The revaluation process was handled efficiently.,Examination
How do I register on the placement portal?,Placement
The renewal form for scholarship is not available on the portal.,Scholarship
I appreciate the extended fee deadline during exam time.,Finance
Discriminatory remarks were made by a professor in class.,Complaint
The warden resolved my complaint within 18 hours.,Hostel
Revaluation result is pending for over 22 months.,Examination
"My admit card was generated on time, thank you.",Examination
What is the last date for admission form submission?,Admission
My profile on the placement portal shows incorrect CGPA.,Placement
The exam timetable was changed without prior notice.,Examination
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
The fee receipt is not downloadable from the portal.,Finance
The scholarship cell staff helped me complete my application.,Scholarship
My roommate is causing disturbance but the warden is not taking action.,Hostel
What is the procedure for the internal complaints committee?,Complaint
What is the academic calendar for this year?,General
The placement training sessions were very useful.,Placement
What is the process for obtaining a migration certificate?,General
A faculty member is giving biased marks to certain students.,Complaint
Can final year students from all branches register?,Placement
What action is taken against proven ragging cases?,Complaint
I got my corrected mark sheet within 16 days.,Examination
What is the process to apply for hostel accommodation?,Hostel
The campus facilities have improved a lot this year.,General
The challan generated has incorrect details.,Finance
The revaluation process was handled efficiently.,Examination
Is there any concession for single-parent students?,Finance
Is there a student ombudsman at this university?,Complaint
I have been charged hostel fee even though I am a day scholar.,Finance
I was not allowed into the exam hall due to a portal error.,Examination
"My scholarship was approved quickly, I am very grateful.",Scholarship
My admission application has been pending for 7 weeks with no update.,Admission
Can I appear in exam if attendance is below 75 percent?,Examination
My seat allotment was updated within 19 hours as promised.,Admission
What documents are needed for placement registration?,Placement
Staff at the help desk were very cooperative.,General
How many seats are available in the Computer Science branch?,Admission
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
Can I appear in exam if attendance is below 75 percent?,Examination
Can I escalate my complaint if it is not resolved?,Complaint
The renewal form for scholarship is not available on the portal.,Scholarship
The scholarship amount was not credited to my account this semester.,Scholarship
Is there a grace mark policy in the university?,Examination
How long does it take to resolve a grievance?,Complaint
The placement training sessions were very useful.,Placement
Is air conditioning available in hostel rooms?,Hostel
"Thank you, my admission documents were verified quickly.",Admission
Thank you for processing my scholarship renewal on time.,Scholarship
When does hostel allotment happen for new students?,Hostel
I was threatened by a classmate and reported it but nothing happened.,Complaint
How do I access the university Wi-Fi?,General
Admission office is not responding to my emails for 20 days.,Admission
The new student portal is very user-friendly.,General
I appreciate the extended fee deadline during exam time.,Finance
I was declared ineligible for scholarship without any explanation.,Scholarship
The anti-ragging cell responded to my complaint immediately.,Complaint
Hostel Wi-Fi speed has improved a lot recently.,Hostel
What is the monthly hostel fee for postgraduate students?,Hostel
The placement cell kept us informed about every drive.,Placement
What is the income limit for need-based scholarship?,Scholarship
What is the fee structure for international students?,Finance
The placement training sessions were very useful.,Placement
I got my corrected mark sheet within 6 days.,Examination
How do I access the university Wi-Fi?,General
Is there a training program before placements?,Placement
What is the procedure for exam form correction?,Examination
The scholarship amount was not credited to my account this semester.,Scholarship
I have been charged hostel fee even though I am a day scholar.,Finance
I received the scholarship amount before the semester began.,Scholarship
My fee refund has not been processed even after 5 months.,Finance
My grievance has been ignored by the department for 22 weeks.,Complaint
The placement cell has not updated the company list for this year.,Placement
How do I update my contact details on the portal?,General
The revaluation process was handled efficiently.,Examination
My email ID was not created even after 29 weeks of registration.,General
The mess menu has improved significantly this month.,Hostel
The exam schedule was shared well in advance this time.,Examination
Is direct admission available for lateral entry students?,Admission
"My refund was processed within 24 working days, thank you.",Finance
Which companies visited last year?,Placement
The examination fee was deducted but the form was not submitted.,Examination
My email ID was not created even after 17 weeks of registration.,General
The scholarship cell staff helped me complete my application.,Scholarship
Is laundry service available in the hostel?,Hostel
"My refund was processed within 24 working days, thank you.",Finance
The campus facilities have improved a lot this year.,General
My grievance has been ignored by the department for 5 weeks.,Complaint
Staff at the help desk were very cooperative.,General
I cannot find any information about the upcoming event.,General
I was denied entry to the hostel without any valid reason.,Hostel
The warden resolved my complaint within 10 hours.,Hostel
My merit list position was not updated even after re-verification.,Admission
The hostel room was clean and well-maintained on arrival.,Hostel
The admission portal keeps showing an error when I try to submit my form.,Admission
"Thank you, my admission documents were verified quickly.",Admission
Wrong category was assigned to me during the admission process.,Admission
How do I file a formal complaint against a faculty member?,Complaint
How do I access the university Wi-Fi?,General
Hostel Wi-Fi speed has improved a lot recently.,Hostel
My seat allotment was updated within 12 hours as promised.,Admission
How do I update my contact details on the portal?,General
What is the academic calendar for this year?,General
"Thank you, my admission documents were verified quickly.",Admission
What documents are needed for placement registration?,Placement
"I received my ID card within 6 days, thank you.",General
I am being harassed by a senior student and no action is being taken.,Complaint
What happens if I miss the fee deadline?,Finance
Can I escalate my complaint if it is not resolved?,Complaint
The notice board has outdated information.,General
The help desk is not responding to my queries.,General
My backlog exam date clashes with my regular exam schedule.,Examination
The staff at the admission office was very helpful.,Admission
I was not allowed into the exam hall due to a portal error.,Examination
My internal marks have not been updated for 25 subjects.,Examination
The finance staff resolved my billing error quickly.,Finance
The scholarship cell staff helped me complete my application.,Scholarship
What is the income limit for need-based scholarship?,Scholarship
Staff at the help desk were very cooperative.,General
I was denied entry to the hostel without any valid reason.,Hostel
My seat allotment was updated within 4 hours as promised.,Admission
What is the exam form fill-up last date?,Examination
My merit list position was not updated even after re-verification.,Admission
Who is the grievance redressal officer?,Complaint
The campus facilities have improved a lot this year.,General
My backlog exam date clashes with my regular exam schedule.,Examination
Admission office is not responding to my emails for 9 days.,Admission
My application was rejected without any reason given.,Admission
The scholarship cell staff helped me complete my application.,Scholarship
The fee portal worked smoothly and I received the receipt instantly.,Finance
Thank you for ensuring a safe environment in the hostel.,Complaint
The staff at the admission office was very helpful.,Admission
The library is closed during exam preparation time.,General
My scholarship application has been pending for 28 months with no update.,Scholarship
My complaint was taken seriously and resolved within 16 days.,Complaint
Staff at the help desk were very cooperative.,General
What are the accepted modes of fee payment?,Finance
"My scholarship was approved quickly, I am very grateful.",Scholarship
What is the process to apply for hostel accommodation?,Hostel
"My refund was processed within 20 working days, thank you.",Finance
What is the fee structure for the new academic year?,Admission
The renewal form for scholarship is not available on the portal.,Scholarship
What was the highest package offered last year?,Placement
When does hostel allotment happen for new students?,Hostel
My complaint submitted 23 days ago has not been acknowledged.,Complaint
The placement cell has not updated the company list for this year.,Placement
My application was rejected without any reason given.,Admission
"My refund was processed within 14 working days, thank you.",Finance
The mess menu has improved significantly this month.,Hostel
Who is the grievance redressal officer?,Complaint
The warden resolved my complaint within 13 hours.,Hostel
The mess menu has improved significantly this month.,Hostel
I reported a maintenance issue 26 weeks ago but it is still unresolved.,Hostel
The scholarship cell staff helped me complete my application.,Scholarship
I appreciate the extended fee deadline during exam time.,Finance
My grievance has been ignored by the department for 13 weeks.,Complaint
I am being harassed by a senior student and no action is being taken.,Complaint
My application was rejected without any reason given.,Admission
The fee portal worked smoothly and I received the receipt instantly.,Finance
I was asked to submit documents twice but still no confirmation.,Admission
"Thank you, my admission documents were verified quickly.",Admission
The merit scholarship process was transparent and fair.,Scholarship
I appreciate the timely maintenance work done in my room.,Hostel
What is the process for NRI admission?,Admission
When will campus placements begin this year?,Placement
My email ID was not created even after 27 weeks of registration.,General
The company I was placed in has deferred joining by 18 months.,Placement
How do I access the university Wi-Fi?,General
When will the second merit list be published?,Admission
I paid the fee online but the portal still shows dues pending.,Finance
The anti-ragging committee is not accessible to students.,Complaint
"My admit card was generated on time, thank you.",Examination
What is the monthly hostel fee for postgraduate students?,Hostel
What is the fee structure for international students?,Finance
The university website has been down for 22 days.,General
Admission office is not responding to my emails for 2 days.,Admission
The placement portal login is not working for me.,Placement
The university website has been down for 13 days.,General
Is there a student ombudsman at this university?,Complaint
The scholarship amount was not credited to my account this semester.,Scholarship
