query,priority
The transport bus schedule has changed without any notice.,High
What is the fee structure for international students?,Medium
What is the renewal process for continuing scholarship?,Medium
I was marked absent in the exam even though I was present.,High
Is direct admission available for lateral entry students?,Medium
The admission portal keeps showing an error when I try to submit my form.,High
Is there a government scholarship tie-up with this university?,Medium
The staff at the admission office was very helpful.,Low
The scholarship portal is not accepting my Aadhaar number.,High
What is the passing criteria for practical exams?,Medium
"There are insects in the mess food, this is unacceptable.",High
What is the process to apply for revaluation?,Medium
What is the monthly hostel fee for postgraduate students?,Medium
The scholarship amount was not credited to my account this semester.,High
Is there a student ombudsman at this university?,Medium
Is there an anonymous complaint submission option?,Medium
Is there a scholarship for differently-abled students?,Medium
The exam schedule was shared well in advance this time.,Low
The staff at the admission office was very helpful.,Low
There is a case of ragging in my hostel block.,High
The mock interviews organised by placement cell were excellent.,Low
The new student portal is very user-friendly.,Low
The placement training sessions were very useful.,Low
The hostel fee receipt has not been generated after payment.,High
Thank you for ensuring a safe environment in the hostel.,Low
The renewal form for scholarship is not available on the portal.,High
What is the income limit for need-based scholarship?,Medium
I appreciate the quick action taken on my grievance.,Low
Is off-campus placement assistance provided?,Medium
The finance staff resolved my billing error quickly.,Low
Is there a grace mark policy in the university?,Medium
How do I file a formal complaint against a faculty member?,Medium
What are the transport routes available for students?,Medium
I was marked absent in the exam even though I was present.,High
The faculty is not conducting classes regularly.,High
The pre-placement talk was cancelled without informing students.,High
Discriminatory remarks were made by a professor in class.,High
Where can I report a case of harassment?,Medium
I received the scholarship amount before the semester began.,Low
How do I download my fee receipt from the portal?,Medium
The orientation program was well-organised.,Low
The transport bus schedule has changed without any notice.,High
The exam schedule was shared well in advance this time.,Low
My grievance has been ignored by the department for 7 weeks.,High
My scholarship application has been pending for 21 months with no update.,High
"My scholarship was approved quickly, I am very grateful.",Low
I missed the registration deadline because no reminder was sent.,High
Can I change my branch after the first year?,Medium
The warden resolved my complaint within 18 hours.,Low
How do I download my admit card from the portal?,Medium
I cannot find any information about the upcoming event.,High
Is there a grace mark policy in the university?,Medium
What is the academic calendar for this year?,Medium
The mock interviews organised by placement cell were excellent.,Low
The faculty is not conducting classes regularly.,High
What are the library timings on weekends?,Medium
The admission portal keeps showing an error when I try to submit my form.,High
"My scholarship was approved quickly, I am very grateful.",Low
Is off-campus placement assistance provided?,Medium
Can I pay the fee in installments?,Medium
The library is closed during exam preparation time.,High
What is the procedure for the internal complaints committee?,Medium
The merit scholarship process was transparent and fair.,Low
The finance staff resolved my billing error quickly.,Low
My complaint submitted 26 days ago has not been acknowledged.,High
How do I get a duplicate ID card?,Medium
Admission office is not responding to my emails for 8 days.,High
The scholarship cell staff helped me complete my application.,Low
Thank you for processing my scholarship renewal on time.,Low
My roommate is causing disturbance but the warden is not taking action.,High
When will the second merit list be published?,Medium
How many seats are available in the Computer Science branch?,Medium
I cannot find any information about the upcoming event.,High
"My refund was processed within 28 working days, thank you.",Low
I was asked to submit documents twice but still no confirmation.,High
What is the income limit for need-based scholarship?,Medium
I missed the registration deadline because no reminder was sent.,High
What are the hostel rules for late-night entry?,Medium
"Thank you, my admission documents were verified quickly.",Low
My grievance has been ignored by the department for 10 weeks.,High
The online payment system is very convenient.,Low
I am being harassed by a senior student and no action is being taken.,High
Staff at the help desk were very cooperative.,Low
The placement cell kept us informed about every drive.,Low
My ID card has not been issued even after 6 weeks of joining.,High
The seat allotment letter has not been issued after 10 days of payment.,High
The placement portal login is not working for me.,High
The mock interviews organised by placement cell were excellent.,Low
The online payment system is very convenient.,Low
I received my offer letter within 11 days of the interview.,Low
The finance staff resolved my billing error quickly.,Low
The renewal form for scholarship is not available on the portal.,High
How do I apply for a bonafide certificate?,Medium
I received my admission confirmation letter on time.,Low
I paid the fee online but the portal still shows dues pending.,High
I appreciate the timely maintenance work done in my room.,Low
I have been allotted a wrong exam centre far from my address.,High
I got my corrected mark sheet within 25 days.,Low
Who is the grievance redressal officer?,Medium
Can I escalate my complaint if it is not resolved?,Medium
What happens if I miss the fee deadline?,Medium
What is the refund policy for withdrawn students?,Medium
The seat allotment letter has not been issued after 18 days of payment.,High
Are parents allowed to visit the hostel?,Medium
How do I file a formal complaint against a faculty member?,Medium
"My refund was processed within 25 working days, thank you.",Low
I missed the registration deadline because no reminder was sent.,High
The exam timetable was changed without prior notice.,High
How is the scholarship amount disbursed?,Medium
Is air conditioning available in hostel rooms?,Medium
How do I file a formal complaint against a faculty member?,Medium
I was wrongly penalised for something I did not do.,High
What happens if I miss the fee deadline?,Medium
My fee refund has not been processed even after 20 months.,High
My seat allotment was updated within 2 hours as promised.,Low
I received my admission confirmation letter on time.,Low
Is there a training program before placements?,Medium
The university website has been down for 13 days.,High
What is the monthly hostel fee for postgraduate students?,Medium
Is air conditioning available in hostel rooms?,Medium
The scholarship cell staff helped me complete my application.,Low
Is there a provision for sports quota admission?,Medium
I have been charged hostel fee even though I am a day scholar.,High
How do I get a duplicate ID card?,Medium
My seat allotment was updated within 19 hours as promised.,Low
I was charged late fee even though I paid before the deadline.,High
I was removed from the placement list due to a clerical error.,High
Discriminatory remarks were made by a professor in class.,High
My scholarship amount was deducted from my fee but still shows balance.,High
What is the exam form fill-up last date?,Medium
The warden resolved my complaint within 2 hours.,Low
What is the procedure to vacate the hostel at year end?,Medium
The mock interviews organised by placement cell were excellent.,Low
How do I register on the placement portal?,Medium
What is the passing criteria for practical exams?,Medium
My complaint submitted 6 days ago has not been acknowledged.,High
What is the procedure to vacate the hostel at year end?,Medium
What is the last date for fee payment this semester?,Medium
My seat allotment was updated within 13 hours as promised.,Low
The exam schedule was shared well in advance this time.,Low
I got my corrected mark sheet within 11 days.,Low
I appreciate the timely maintenance work done in my room.,Low
How do I file a formal complaint against a faculty member?,Medium
Can I change my branch after the first year?,Medium
I got my corrected mark sheet within 17 days.,Low
What is the income limit for need-based scholarship?,Medium
My ID card has not been issued even after 5 weeks of joining.,High
Who is the grievance redressal officer?,Medium
I was wrongly penalised for something I did not do.,High
The anti-ragging committee is not accessible to students.,High
The finance department is not responding to my refund request.,High
The examination fee was deducted but the form was not submitted.,High
What is the procedure for the internal complaints committee?,Medium
I appreciate the quick action taken on my grievance.,Low
The scholarship cell staff helped me complete my application.,Low
The placement training sessions were very useful.,Low
What is the process for obtaining a migration certificate?,Medium
Can final year students from all branches register?,Medium
How do I file a formal complaint against a faculty member?,Medium
My admit card has not been generated even though exams start tomorrow.,High
"My refund was processed within 28 working days, thank you.",Low
The fee receipt is not downloadable from the portal.,High
What is the monthly hostel fee for postgraduate students?,Medium
The staff at the admission office was very helpful.,Low
What are the hostel rules for late-night entry?,Medium
Are there any internship opportunities through the placement cell?,Medium
What action is taken against proven ragging cases?,Medium
Wi-Fi in the hostel has not been working for 11 days.,High
My resume was not shortlisted without any feedback.,High
The anti-ragging committee is not accessible to students.,High
The scholarship amount was not credited to my account this semester.,High
What documents are required for the admission process?,Medium
Can I change my branch after the first year?,Medium
What items are allowed and not allowed in the hostel?,Medium
Is there a government scholarship tie-up with this university?,Medium
What are the library timings on weekends?,Medium
"I received my ID card within 21 days, thank you.",Low
How do I access the university Wi-Fi?,Medium
What is the passing criteria for practical exams?,Medium
Staff at the help desk were very cooperative.,Low
I was asked to pay the fee again even after showing the receipt.,High
"Result was declared faster than expected, appreciated.",Low
My scholarship application has been pending for 15 months with no update.,High
The hostel room was clean and well-maintained on arrival.,Low
The orientation program was well-organised.,Low
"My scholarship was approved quickly, I am very grateful.",Low
Is there an anonymous complaint submission option?,Medium
My grievance has been ignored by the department for 3 weeks.,High
What happens if I miss the fee deadline?,Medium
The warden resolved my complaint within 24 hours.,Low
How do I update my contact details on the portal?,Medium
The orientation program was well-organised.,Low
Can final year students from all branches register?,Medium
The hostel gate is being closed before the permitted time.,High
The help desk is not responding to my queries.,High
I paid the fee online but the portal still shows dues pending.,High
Wi-Fi in the hostel has not been working for 18 days.,High
The scholarship cell staff helped me complete my application.,Low
Staff at the help desk were very cooperative.,Low
What scholarships are available for meritorious students?,Medium
The placement training sessions were very useful.,Low
The student affairs office handled my case professionally.,Low
When will campus placements begin this year?,Medium
The placement cell kept us informed about every drive.,Low
I missed the counselling round due to no notification from the portal.,High
My complaint was taken seriously and resolved within 25 days.,Low
When will the end semester exam schedule be released?,Medium
What is the passing criteria for practical exams?,Medium
"My admit card was generated on time, thank you.",Low
The placement training sessions were very useful.,Low
What is the procedure to vacate the hostel at year end?,Medium
"My scholarship was approved quickly, I am very grateful.",Low
"My admit card was generated on time, thank you.",Low
The placement cell has not updated the company list for this year.,High
Can I change my branch after the first year?,Medium
What is the process for obtaining a migration certificate?,Medium
Wrong fee head was applied to my account causing confusion.,High
The mess menu has improved significantly this month.,Low
The finance staff resolved my billing error quickly.,Low
The exam schedule was shared well in advance this time.,Low
How do I access the university Wi-Fi?,Medium
What is the fee structure for international students?,Medium
My complaint submitted 19 days ago has not been acknowledged.,High
Hostel Wi-Fi speed has improved a lot recently.,Low
How do I update my contact details on the portal?,Medium
The hostel fee receipt has not been generated after payment.,High
The placement cell has not updated the company list for this year.,High
Where is the medical centre located on campus?,Medium
The warden resolved my complaint within 12 hours.,Low
What is the process to apply for hostel accommodation?,Medium
What action is taken against proven ragging cases?,Medium
How can I get a duplicate fee receipt?,Medium
I got my corrected mark sheet within 28 days.,Low
Is there any concession for single-parent students?,Medium
My email ID was not created even after 27 weeks of registration.,High
The renewal form for scholarship is not available on the portal.,High
I got my corrected mark sheet within 9 days.,Low
The revaluation process was handled efficiently.,Low
The finance department is not responding to my refund request.,High
"I got placed in a good company, thank you to the placement cell.",Low
What is the anti-ragging policy of the university?,Medium
Revaluation result is pending for over 19 months.,High
The scholarship amount was not credited to my account this semester.,High
The university website has been down for 12 days.,High
I was threatened by a classmate and reported it but nothing happened.,High
How many seats are available in the Computer Science branch?,Medium
The new student portal is very user-friendly.,Low
"I got placed in a good company, thank you to the placement cell.",Low
Is direct admission available for lateral entry students?,Medium
The help desk is not responding to my queries.,High
The pre-placement talk was cancelled without informing students.,High
There is a case of ragging in my hostel block.,High
"Thank you, my admission documents were verified quickly.",Low
The exam schedule was shared well in advance this time.,Low
I received my admission confirmation letter on time.,Low
The mock interviews organised by placement cell were excellent.,Low
What is the procedure to vacate the hostel at year end?,Medium
There is a case of ragging in my hostel block.,High
I was marked absent in the exam even though I was present.,High
My email ID was not created even after 7 weeks of registration.,High
What are the hostel rules for late-night entry?,Medium
There is a case of ragging in my hostel block.,High
How do I apply for a bonafide certificate?,Medium
What documents are needed for placement registration?,Medium
Discriminatory remarks were made by a professor in class.,High
The mess food quality has deteriorated significantly.,High
Can I escalate my complaint if it is not resolved?,Medium
Is there a grace mark policy in the university?,Medium
Can I escalate my complaint if it is not resolved?,Medium
I received my admission confirmation letter on time.,Low
The notice board has outdated information.,High
What is the renewal process for continuing scholarship?,Medium
My resume was not shortlisted without any feedback.,High
I appreciate the extended fee deadline during exam time.,Low
The online payment system is very convenient.,Low
My merit list position was not updated even after re-verification.,High
The hostel fee receipt has not been generated after payment.,High
I got my corrected mark sheet within 4 days.,Low
I appreciate the quick action taken on my grievance.,Low
Revaluation result is pending for over 13 months.,High
Power cuts in the hostel are happening every day.,High
The warden resolved my complaint within 13 hours.,Low
What was the highest package offered last year?,Medium
The hostel fee receipt has not been generated after payment.,High
"My refund was processed within 2 working days, thank you.",Low
The online payment system is very convenient.,Low
I was removed from the placement list due to a clerical error.,High
There is a spelling mistake in my name on the hall ticket.,High
My scholarship application has been pending for 21 months with no update.,High
The notice board has outdated information.,High
How do I apply for a room change?,Medium
What is the procedure for exam form correction?,Medium
The admission process was smooth and well-organised this year.,Low
Can I escalate my complaint if it is not resolved?,Medium
My seat allotment was updated within 6 hours as promised.,Low
A faculty member is giving biased marks to certain students.,High
My result shows fail but I had submitted all answers correctly.,High
The faculty is not conducting classes regularly.,High
I paid the fee online but the portal still shows dues pending.,High
The fee portal worked smoothly and I received the receipt instantly.,Low
The staff at the admission office was very helpful.,Low
What is the process to apply for revaluation?,Medium
The staff at the admission office was very helpful.,Low
I appreciate the timely maintenance work done in my room.,Low
I have been allotted a wrong exam centre far from my address.,High
I was declared ineligible for scholarship without any explanation.,High
Which companies visited last year?,Medium
Staff at the help desk were very cooperative.,Low
"Result was declared faster than expected, appreciated.",Low
What is the renewal process for continuing scholarship?,Medium
The hostel room allotted to me is not clean.,High
What is the fee structure for international students?,Medium
Is direct admission available for lateral entry students?,Medium
My grievance has been ignored by the department for 13 weeks.,High
Staff at the help desk were very cooperative.,Low
The pre-placement talk was cancelled without informing students.,High
What documents are required for scholarship application?,Medium
"My admit card was generated on time, thank you.",Low
I submitted all documents but my admission status still shows incomplete.,High
The finance staff resolved my billing error quickly.,Low
I was wrongly penalised for something I did not do.,High
Is there a grace mark policy in the university?,Medium
The seat allotment letter has not been issued after 4 days of payment.,High
Can final year students from all branches register?,Medium
"My refund was processed within 26 working days, thank you.",Low
Wi-Fi in the hostel has not been working for 3 days.,High
When will semester results be declared?,Medium
Are there any internship opportunities through the placement cell?,Medium
"Thank you, my admission documents were verified quickly.",Low
My resume was not shortlisted without any feedback.,High
The new student portal is very user-friendly.,Low
I was denied entry to the hostel without any valid reason.,High
The anti-ragging cell responded to my complaint immediately.,Low
My admission application has been pending for 27 weeks with no update.,High
"Result was declared faster than expected, appreciated.",Low
"My admit card was generated on time, thank you.",Low
The fee portal worked smoothly and I received the receipt instantly.,Low
Wi-Fi in the hostel has not been working for 4 days.,High
My seat allotment was updated within 3 hours as promised.,Low
The transport bus schedule has changed without any notice.,High
What happens if I miss the fee deadline?,Medium
Thank you for processing my scholarship renewal on time.,Low
What scholarships are available for meritorious students?,Medium
Can final year students from all branches register?,Medium
I cannot find any information about the upcoming event.,High
"I got placed in a good company, thank you to the placement cell.",Low
How do I access the university Wi-Fi?,Medium
The admission process was smooth and well-organised this year.,Low
"I got placed in a good company, thank you to the placement cell.",Low
The fee receipt is not downloadable from the portal.,High
What is the procedure to vacate the hostel at year end?,Medium
How do I apply for a room change?,Medium
My fee refund has not been processed even after 30 months.,High
I was threatened by a classmate and reported it but nothing happened.,High
I appreciate the quick action taken on my grievance.,Low
I cannot find any information about the upcoming event.,High
My merit list position was not updated even after re-verification.,High
The help desk is not responding to my queries.,High
Are there any internship opportunities through the placement cell?,Medium
The finance staff resolved my billing error quickly.,Low
"I got placed in a good company, thank you to the placement cell.",Low
Hostel Wi-Fi speed has improved a lot recently.,Low
The revaluation process was handled efficiently.,Low
Is air conditioning available in hostel rooms?,Medium
Can I appear in exam if attendance is below 75 percent?,Medium
My complaint was taken seriously and resolved within 7 days.,Low
"I received my ID card within 22 days, thank you.",Low
The exam schedule was shared well in advance this time.,Low
The orientation program was well-organised.,Low
What is the academic calendar for this year?,Medium
Can final year students from all branches register?,Medium
The staff at the admission office was very helpful.,Low
"My admit card was generated on time, thank you.",Low
I paid the fee online but the portal still shows dues pending.,High
The placement training sessions were very useful.,Low
How many attempts are allowed for a backlog paper?,Medium
I was asked to submit documents twice but still no confirmation.,High
What are the transport routes available for students?,Medium
Discriminatory remarks were made by a professor in class.,High
When will semester results be declared?,Medium
Is air conditioning available in hostel rooms?,Medium
When is the scholarship application portal open?,Medium
Staff at the help desk were very cooperative.,Low
The revaluation process was handled efficiently.,Low
The online payment system is very convenient.,Low
My seat allotment was updated within 25 hours as promised.,Low
The examination fee was deducted but the form was not submitted.,High
"My scholarship was approved quickly, I am very grateful.",Low
My scholarship was cancelled despite fulfilling all criteria.,High
What clubs and societies are active this semester?,Medium
Hostel Wi-Fi speed has improved a lot recently.,Low
The renewal form for scholarship is not available on the portal.,High
The pre-placement talk was cancelled without informing students.,High
The admission portal keeps showing an error when I try to submit my form.,High
There has been no water supply in the hostel for 21 days.,High
The notice board has outdated information.,High
The admission process was smooth and well-organised this year.,Low
Are there any internship opportunities through the placement cell?,Medium
The new student portal is very user-friendly.,Low
"My refund was processed within 9 working days, thank you.",Low
The library is closed during exam preparation time.,High
My scholarship amount was deducted from my fee but still shows balance.,High
Thank you for processing my scholarship renewal on time.,Low
Wi-Fi in the hostel has not been working for 7 days.,High
The help desk is not responding to my queries.,High
There is a case of ragging in my hostel block.,High
What is the anti-ragging policy of the university?,Medium
The company I was placed in has deferred joining by 16 months.,High
Can I escalate my complaint if it is not resolved?,Medium
My fee refund has not been processed even after 12 months.,High
How do I download my fee receipt from the portal?,Medium
Where is the medical centre located on campus?,Medium
The finance department is not responding to my refund request.,High
"My admit card was generated on time, thank you.",Low
The orientation program was well-organised.,Low
The hostel gate is being closed before the permitted time.,High
Is there a scholarship for differently-abled students?,Medium
The placement portal login is not working for me.,High
The student affairs office handled my case professionally.,Low
How do I file a formal complaint against a faculty member?,Medium
I reported a maintenance issue 10 weeks ago but it is still unresolved.,High
What clubs and societies are active this semester?,Medium
The admission process was smooth and well-organised this year.,Low
The scholarship amount was not credited to my account this semester.,High
I have not received any communication regarding my scholarship status.,High
The anti-ragging cell responded to my complaint immediately.,Low
The admission process was smooth and well-organised this year.,Low
My application was rejected without any reason given.,High
The faculty is not conducting classes regularly.,High
Is there a grace mark policy in the university?,Medium
I missed the registration deadline because no reminder was sent.,High
The exam schedule was shared well in advance this time.,Low
I received my offer letter within 27 days of the interview.,Low
I was asked to pay the fee again even after showing the receipt.,High
The scholarship portal is not accepting my Aadhaar number.,High
I appreciate the quick action taken on my grievance.,Low
Thank you for ensuring a safe environment in the hostel.,Low
The seat allotment letter has not been issued after 17 days of payment.,High
The examination fee was deducted but the form was not submitted.,High
Thank you for processing my scholarship renewal on time.,Low
Hostel Wi-Fi speed has improved a lot recently.,Low
What clubs and societies are active this semester?,Medium
Who is the grievance redressal officer?,Medium
The notice board has outdated information.,High
I have been charged hostel fee even though I am a day scholar.,High
Is there a training program before placements?,Medium
Thank you for processing my scholarship renewal on time.,Low
The mock interviews organised by placement cell were excellent.,Low
My scholarship amount was deducted from my fee but still shows balance.,High
When will semester results be declared?,Medium
How do I apply for a room change?,Medium
My grade sheet shows incorrect marks for the third semester.,High
I appreciate the quick action taken on my grievance.,Low
How do I apply for a bonafide certificate?,Medium
The finance staff resolved my billing error quickly.,Low
The exam schedule was shared well in advance this time.,Low
"My refund was processed within 30 working days, thank you.",Low
I received the scholarship amount before the semester began.,Low
How do I apply for a room change?,Medium
There is a case of ragging in my hostel block.,High
Is there a scholarship for differently-abled students?,Medium
The fee receipt is not downloadable from the portal.,High
What is the procedure for exam form correction?,Medium
What is the procedure to vacate the hostel at year end?,Medium
I am being harassed by a senior student and no action is being taken.,High
I appreciate the timely maintenance work done in my room.,Low
I was removed from the placement list due to a clerical error.,High
What is the fee structure for international students?,Medium
Is there a training program before placements?,Medium
The admission process was smooth and well-organised this year.,Low
How long does it take to resolve a grievance?,Medium
Is laundry service available in the hostel?,Medium
What is the income limit for need-based scholarship?,Medium
My grade sheet shows incorrect marks for the third semester.,High
When will campus placements begin this year?,Medium
The mess menu has improved significantly this month.,Low
The help desk is not responding to my queries.,High
How do I download my fee receipt from the portal?,Medium
"My admit card was generated on time, thank you.",Low
What documents are required for scholarship application?,Medium
I have not received my offer letter even after 8 months of selection.,High
The anti-ragging cell responded to my complaint immediately.,Low
My complaint was taken seriously and resolved within 6 days.,Low
The placement training sessions were very useful.,Low
My scholarship application has been pending for 23 months with no update.,High
Are there any internship opportunities through the placement cell?,Medium
My ID card has not been issued even after 30 weeks of joining.,High
The new student portal is very user-friendly.,Low
The fee portal worked smoothly and I received the receipt instantly.,Low
Can final year students from all branches register?,Medium
When will campus placements begin this year?,Medium
My complaint was taken seriously and resolved within 21 days.,Low
What items are allowed and not allowed in the hostel?,Medium
Are there any internship opportunities through the placement cell?,Medium
My scholarship was cancelled despite fulfilling all criteria.,High
I got my corrected mark sheet within 5 days.,Low
My scholarship amount was deducted from my fee but still shows balance.,High
The student affairs office handled my case professionally.,Low
The mess menu has improved significantly this month.,Low
